"","H","C","Tau","K","D"
"1",0.999989078282995,1.07774250307057e-05,10,0,3
"2",0.999979689790733,2.00464848167507e-05,10,0,3
"3",0.999990539717515,9.33710312531399e-06,10,0,3
"4",0.999974271529858,2.53753127253145e-05,10,0,3
"5",0.999982418301032,1.73517315107518e-05,10,0,3
"6",0.99998920918003,1.0646503429254e-05,10,0,3
"7",0.999986320570971,1.3492313795531e-05,10,0,3
"8",0.999964190753009,3.5422466098753e-05,10,0,3
"9",0.999995575903489,4.3673509905068e-06,10,0,3
"10",0.999955741850087,4.3648795360128e-05,10,0,3
"11",0.999988190503587,1.1650385081181e-05,10,0,3
"12",0.999992235078599,7.66760015984471e-06,10,0,3
"13",0.9999754570519,2.42203523442555e-05,10,0,3
"14",0.999969806343832,2.9792125621289e-05,10,0,3
"15",0.999992249688088,7.65191815380327e-06,10,0,3
"16",0.999985866669771,1.39485559768907e-05,10,0,3
"17",0.999980880201482,1.88843732795101e-05,10,0,3
"18",0.999991032277946,8.84546257210097e-06,10,0,3
"19",0.999991457368457,8.4298690337675e-06,10,0,3
"20",0.999968776914532,3.08104289070868e-05,10,0,3
"21",0.999986624457457,1.32105062598134e-05,10,0,3
"22",0.999995197561563,4.73755732730778e-06,10,0,3
"23",0.999980247678914,1.94905196538048e-05,10,0,3
"24",0.999970364591735,2.92224496559751e-05,10,0,3
"25",0.999992391153367,7.50932057172595e-06,10,0,3
"26",0.999948648815663,5.06369901365203e-05,10,0,3
"27",0.999970436247233,2.91857415192713e-05,10,0,3
"28",0.999970560471282,2.90501431437776e-05,10,0,3
"29",0.999982441084249,1.732858170854e-05,10,0,3
"30",0.99996256046204,3.69398560871927e-05,10,0,3
"31",0.999987806050001,1.20283051051204e-05,10,0,3
"32",0.999996942209161,3.02020884588971e-06,10,0,3
"33",0.999977148955645,2.26078183542221e-05,10,0,3
"34",0.99997053436158,2.91273528625651e-05,10,0,3
"35",0.999983168985198,1.66387981240447e-05,10,0,3
"36",0.999989760799967,1.01038091536567e-05,10,0,3
"37",0.999972556432097,2.70786285245586e-05,10,0,3
"38",0.999991666901475,8.22421236600026e-06,10,0,3
"39",0.999960868175329,3.86643044427142e-05,10,0,3
"40",0.999985055253985,1.47514563680337e-05,10,0,3
"41",0.999987149778781,1.26809119033031e-05,10,0,3
"42",0.999998983693628,1.00302080846422e-06,10,0,3
"43",0.999972734604513,2.69359898900191e-05,10,0,3
"44",0.999948899531023,5.04315172358236e-05,10,0,3
"45",0.999988203623362,1.16481605528e-05,10,0,3
"46",0.999938286637818,6.09609451028077e-05,10,0,3
"47",0.999991178719935,8.70277506971094e-06,10,0,3
"48",0.999987973131641,1.18769025868735e-05,10,0,3
"49",0.999972917031828,2.66885030692627e-05,10,0,3
"50",0.999990388835889,9.48372558120286e-06,10,0,3
"51",0.999998309941028,1.66830277347151e-06,10,0,3
"52",0.999994013897646,5.90826785486316e-06,10,0,3
"53",0.999988116725982,1.1726513955224e-05,10,0,3
"54",0.999956256986695,4.31651244085686e-05,10,0,3
"55",0.999998267421673,1.71007597804419e-06,10,0,3
"56",0.999980001818754,1.97248470689379e-05,10,0,3
"57",0.999979690669731,2.0046530537206e-05,10,0,3
"58",0.999986869160585,1.29593867761161e-05,10,0,3
"59",0.999976031909519,2.36538945022777e-05,10,0,3
"60",0.999950525699087,4.88190617042195e-05,10,0,3
"61",0.999995777888609,4.16823989139719e-06,10,0,3
"62",0.999989820215498,1.00416602135058e-05,10,0,3
"63",0.999984702114966,1.51114894358644e-05,10,0,3
"64",0.999970894437553,2.87165541129772e-05,10,0,3
"65",0.99998881632765,1.10355376187016e-05,10,0,3
"66",0.999994165006937,5.75866653346466e-06,10,0,3
"67",0.999978778263777,2.09473166769241e-05,10,0,3
"68",0.999973399792317,2.62548637032402e-05,10,0,3
"69",0.999983439886578,1.63495040442078e-05,10,0,3
"70",0.999992672736669,7.23273839966836e-06,10,0,3
"71",0.999959753955436,3.97068709008664e-05,10,0,3
"72",0.999955379640877,4.40385959641485e-05,10,0,3
"73",0.999997722009038,2.24755699773553e-06,10,0,3
"74",0.99999320662289,6.70570818932973e-06,10,0,3
"75",0.99999542138933,4.51868060780864e-06,10,0,3
"76",0.999978774913803,2.09463018295894e-05,10,0,3
"77",0.999951442531025,4.79422993138807e-05,10,0,3
"78",0.999955068963892,4.43590148333196e-05,10,0,3
"79",0.999990550932492,9.32844488413336e-06,10,0,3
"80",0.999995595468318,4.34500277129788e-06,10,0,3
"81",0.999994781303535,5.14735182534497e-06,10,0,3
"82",0.999987365083521,1.24707003101688e-05,10,0,3
"83",0.999994127981365,5.80025474142882e-06,10,0,3
"84",0.99999146030776,8.42684494664824e-06,10,0,3
"85",0.999928362264071,7.08685380706914e-05,10,0,3
"86",0.999997487156513,2.48010718758643e-06,10,0,3
