"","H","C","Tau","K","D"
"1",0.999996635898676,3.32037185898836e-06,50,0,3
"2",0.999967403393425,3.21501328580616e-05,50,0,3
"3",0.999933296054242,6.57831025338463e-05,50,0,3
"4",0.999979446562826,2.02763685100686e-05,50,0,3
"5",0.999976650516868,2.30448753823138e-05,50,0,3
"6",0.999976920406654,2.27609195469032e-05,50,0,3
"7",0.999959655327805,3.98257781729041e-05,50,0,3
"8",0.999990903450928,8.9743850552164e-06,50,0,3
"9",0.999977964823241,2.17623857729543e-05,50,0,3
"10",0.999997237135575,2.72700461564821e-06,50,0,3
"11",0.999918370452704,8.03790181170128e-05,50,0,3
"12",0.999970243486524,2.93868124635554e-05,50,0,3
"13",0.999939691300756,5.94667851818541e-05,50,0,3
"14",0.999996368649892,3.58060399180605e-06,50,0,3
"15",0.999988193714704,1.16583471681661e-05,50,0,3
"16",0.999975939982686,2.37410471904179e-05,50,0,3
"17",0.999981914996142,1.78754145243527e-05,50,0,3
"18",0.999986724775672,1.31080974224909e-05,50,0,3
"19",0.999991333137985,8.5613153530954e-06,50,0,3
"20",0.99995525677133,4.40423285025828e-05,50,0,3
"21",0.999982640249901,1.71455464404511e-05,50,0,3
"22",0.999978273279914,2.14219135185054e-05,50,0,3
"23",0.999988416185439,1.14139839928987e-05,50,0,3
"24",0.999984645869648,1.51528582210842e-05,50,0,3
"25",0.999984570269036,1.5221636447087e-05,50,0,3
"26",0.999990907786289,8.9679668467701e-06,50,0,3
"27",0.999992092733663,7.79921853569704e-06,50,0,3
"28",0.999998931319629,1.05460799261138e-06,50,0,3
"29",0.999995506917053,4.4301776891304e-06,50,0,3
"30",0.999996749692761,3.20833132580591e-06,50,0,3
"31",0.999972481519579,2.71628925370198e-05,50,0,3
"32",0.999986278139489,1.35589028160218e-05,50,0,3
"33",0.999961984071392,3.75234075034275e-05,50,0,3
"34",0.999974604485731,2.5063517498277e-05,50,0,3
"35",0.9999672306958,3.23592511924202e-05,50,0,3
"36",0.999986745224375,1.30804963533932e-05,50,0,3
"37",0.999982830303959,1.69319254722303e-05,50,0,3
"38",0.999976155916284,2.34937834710777e-05,50,0,3
"39",0.999988345050981,1.1484771886376e-05,50,0,3
"40",0.999994589879629,5.34103774607194e-06,50,0,3
"41",0.999985393468716,1.44191503564134e-05,50,0,3
"42",0.999982804156187,1.69639830930833e-05,50,0,3
"43",0.999994646400745,5.28325300267353e-06,50,0,3
"44",0.999976320279392,2.33691282563977e-05,50,0,3
"45",0.999989450602688,1.04083051162772e-05,50,0,3
"46",0.999991366218958,8.51963420111336e-06,50,0,3
"47",0.999993810119157,6.10841894537825e-06,50,0,3
"48",0.999994517072821,5.41297814222973e-06,50,0,3
"49",0.99998216727228,1.76067667926806e-05,50,0,3
"50",0.999991991769292,7.90155807235935e-06,50,0,3
"51",0.999972014530863,2.76151917611373e-05,50,0,3
"52",0.999986093995891,1.37332587059991e-05,50,0,3
"53",0.999991777233187,8.11229560217091e-06,50,0,3
"54",0.999988563617835,1.12839655711252e-05,50,0,3
"55",0.999996160199897,3.78962511860681e-06,50,0,3
"56",0.999981494399083,1.82583778100886e-05,50,0,3
"57",0.999987297327529,1.25273272199658e-05,50,0,3
"58",0.999968552407065,3.10604029309098e-05,50,0,3
"59",0.999966127317803,3.34304293299825e-05,50,0,3
"60",0.999988828279095,1.1026247179515e-05,50,0,3
"61",0.999992644275308,7.26349104039377e-06,50,0,3
"62",0.999971688935364,2.79392432523987e-05,50,0,3
"63",0.999953686454062,4.57319458074308e-05,50,0,3
"64",0.999994878300184,5.05676985281655e-06,50,0,3
"65",0.999981798369353,1.7974985185187e-05,50,0,3
"66",0.999994544709268,5.38135831099044e-06,50,0,3
"67",0.999992855576478,7.05223792095393e-06,50,0,3
"68",0.999984384382639,1.54111681701093e-05,50,0,3
"69",0.999998850627752,1.1342388271961e-06,50,0,3
"70",0.999975220475593,2.44556358369621e-05,50,0,3
"71",0.999987935346197,1.19087270464497e-05,50,0,3
"72",0.999992789214558,7.11397537182534e-06,50,0,3
"73",0.999953039272623,4.62964223836373e-05,50,0,3
"74",0.999993694393367,6.22265798740197e-06,50,0,3
"75",0.999987362780052,1.24742405247011e-05,50,0,3
"76",0.999992677624624,7.22407651562773e-06,50,0,3
"77",0.999992281141495,7.61854195041589e-06,50,0,3
"78",0.999979215513881,2.05035953014111e-05,50,0,3
"79",0.999987324845765,1.2506520553649e-05,50,0,3
"80",0.999989118351485,1.07282612460551e-05,50,0,3
"81",0.999977894278078,2.17918431825383e-05,50,0,3
"82",0.999984405957844,1.53891989099952e-05,50,0,3
"83",0.999963816647948,3.56497788777696e-05,50,0,3
"84",0.999995065934286,4.8712607394134e-06,50,0,3
"85",0.999994305547823,5.62058149564475e-06,50,0,3
"86",0.999989299260354,1.05633215658156e-05,50,0,3
"87",0.999994309590795,5.61525858107937e-06,50,0,3
"88",0.9999906747257,9.20545288918603e-06,50,0,3
"89",0.999985386703036,1.44192174512766e-05,50,0,3
"90",0.999927685842952,7.13055585366682e-05,50,0,3
"91",0.999993828683048,6.09022767774868e-06,50,0,3
"92",0.9999948786739,5.05422582289363e-06,50,0,3
"93",0.999940526320815,5.8734815902768e-05,50,0,3
"94",0.99999807669287,1.89831031744902e-06,50,0,3
"95",0.99999528720306,4.65255226971106e-06,50,0,3
"96",0.999975699994179,2.39840371728941e-05,50,0,3
"97",0.999982701116665,1.70793503773724e-05,50,0,3
"98",0.999984905090313,1.4905171004975e-05,50,0,3
"99",0.999930990906522,6.819035413694e-05,50,0,3
"100",0.999988326710068,1.15245055596296e-05,50,0,3
"101",0.999976739755374,2.29532748685102e-05,50,0,3
"102",0.999963328444215,3.61705906498946e-05,50,0,3
"103",0.999988397525875,1.14488709337524e-05,50,0,3
"104",0.999978351463773,2.13625226416483e-05,50,0,3
"105",0.999987384197684,1.24564745785445e-05,50,0,3
"106",0.99999227550085,7.62622289590135e-06,50,0,3
"107",0.999988677842818,1.11732665352931e-05,50,0,3
"108",0.999988335741107,1.15064806971723e-05,50,0,3
"109",0.999976101574445,2.358672055185e-05,50,0,3
"110",0.999986718716333,1.3104459082894e-05,50,0,3
"111",0.999990776292973,9.10222650088224e-06,50,0,3
"112",0.999928468466936,7.06267229781408e-05,50,0,3
"113",0.999966493706168,3.30851270576829e-05,50,0,3
"114",0.999991134878153,8.76123682239354e-06,50,0,3
"115",0.999967493528182,3.21162774584149e-05,50,0,3
"116",0.99997205721216,2.75938702101416e-05,50,0,3
"117",0.999984489855461,1.53088096854711e-05,50,0,3
"118",0.99997305467862,2.6589190718157e-05,50,0,3
"119",0.999988041120697,1.18098924314313e-05,50,0,3
"120",0.999995083763287,4.85615645705752e-06,50,0,3
