"","H","C","A","N"
"156",0.739005736561853,0.291773179855289,4,1e+06
"157",0.572401588873747,0.342211835837126,3.73,1e+06
"158",0.55531044287753,0.338544344694355,3.7,1e+06
"159",0.51135052745232,0.334042845850638,3.68,1e+06
"160",0.492702616022892,0.340846402472747,3.67,1e+06
"161",0.345996315274643,0.283649647051552,3.83,1e+06
"162",0.739005736561853,0.291773179855289,4,1e+06
"163",0.572401588873747,0.342211835837126,3.73,1e+06
"164",0.55531044287753,0.338544344694355,3.7,1e+06
"165",0.51135052745232,0.334042845850638,3.68,1e+06
"166",0.492702616022892,0.340846402472747,3.67,1e+06
"167",0.345996315274643,0.283649647051552,3.83,1e+06
"168",0.739005736561853,0.291773179855289,4,1e+06
"169",0.572401588873747,0.342211835837126,3.73,1e+06
"170",0.55531044287753,0.338544344694355,3.7,1e+06
"171",0.51135052745232,0.334042845850638,3.68,1e+06
"172",0.492702616022892,0.340846402472747,3.67,1e+06
"173",0.345996315274643,0.283649647051552,3.83,1e+06
"174",0.739005736561853,0.291773179855289,4,1e+06
"175",0.572401588873747,0.342211835837126,3.73,1e+06
"176",0.55531044287753,0.338544344694355,3.7,1e+06
"177",0.51135052745232,0.334042845850638,3.68,1e+06
"178",0.492702616022892,0.340846402472747,3.67,1e+06
"179",0.345996315274643,0.283649647051552,3.83,1e+06
"180",0.739005736561853,0.291773179855289,4,1e+06
