"","H","C","region"
"1",0.999963468584315,4.72535780581973e-05,"90"
"2",0.999902329485156,0.000127447166870878,"90"
"3",0.999902842170284,0.000128119634422238,"90"
"4",0.999963981269443,4.79260456095574e-05,"90"
"5",0.999968573362841,3.95436296284835e-05,"95"
"6",0.999889369268145,0.000143432314442854,"95"
"7",0.999890655192036,0.000145119006808319,"95"
"8",0.999969859286732,4.12303219939479e-05,"95"
"9",0.99997641941229,2.92522960634258e-05,"99"
"10",0.999859276626501,0.000182903568737908,"99"
"11",0.999860562550392,0.000184590261103372,"99"
"12",0.999977705336181,3.09389884288901e-05,"99"
"13",0.999982412150737,2.13918727085978e-05,"99.9"
"14",0.999819936991515,0.000234503715868842,"99.9"
"15",0.999821222915407,0.000236190408234306,"99.9"
"16",0.999983698074629,2.30785650740621e-05,"99.9"
"17",0.99993928532807,7.96447648409602e-05,"median"
