"","H","C","P"
"1",0.9999838832,1.59054e-05,0.999
"2",0.9999845602,1.52371e-05,0.999111111111111
"3",0.9999846164,1.51816e-05,0.999222222222222
"4",0.9999846164,1.51816e-05,0.999333333333333
"5",0.9999849822,1.48206e-05,0.999444444444444
"6",0.9999849822,1.48206e-05,0.999555555555556
"7",0.9999851509,1.46541e-05,0.999666666666667
"8",0.9999847473,1.50526e-05,0.999777777777778
"9",0.9999846281,1.51702e-05,0.999888888888889
"10",0.9999847982,1.50024e-05,1
