"","H.90","C.90","H.95","C.95","H.99","C.99","H.999","C.999"
"1",0.999949716158789,0,0.999939805152886,0,0.999920316309727,0,0.999892542975127,0
"2",0.997333418576825,0.00256012514628388,0.996731094046617,0.00313425118894238,0.995300925403051,0.00450543660640071,0.993182456322111,0.00653869387679274
"3",0.997404740423584,0.0026304213739241,0.996821938054682,0.00322378884620891,0.99543492911532,0.00463751332469054,0.993370433685048,0.00672396809635969
"4",1,5.17465533079241e-05,1,6.12194988194966e-05,1,8.45499692434975e-05,1,0.000110373520740371
"5",0.999479105994878,0.0013982030579385,0.999160925931426,0.00181661142985166,0.998792433575739,0.00230118071723233,0.998572705356914,0.00259012442195285
"6",0.994364013412813,0.00812457533981646,0.99371383245781,0.00897956654159264,0.992257462551137,0.0108947002396125,0.990257768995112,0.0135243072490073
"7",0.993923391043153,0.00754515472396132,0.993253401292218,0.00837409726019412,0.991730846524912,0.0102021975360611,0.989731152968886,0.012831804545456
"8",0.999038483625218,0.00081878244208336,0.998700494765834,0.00121114214845313,0.998265817549513,0.00160867801368097,0.998046089330689,0.00189762171840149
"9",0.991970709942772,0.0120895894409576,0.9909375535598,0.0139279094063176,0.989816078686897,0.0156277262539508,0.989259875239451,0.0166608428247303
"10",0.981181788730562,0.0321294028156483,0.98012885243,0.0340044628636612,0.977917027097884,0.0377295442660948,0.975332616938729,0.0425299405480238
"11",0.982742936990099,0.0350291477628943,0.981711726735989,0.0369445627182891,0.979603069957287,0.0408612738968492,0.977018659798132,0.0456616701787782
"12",0.993531858202309,0.0149893343882036,0.992520427865789,0.0168680092609456,0.991502121546299,0.0187594558847052,0.990945918098853,0.0197925724554847
"13",0.944386827417322,0.141837279452703,0.941920158046447,0.147690375159827,0.939657733172702,0.153196677730234,0.93836106610183,0.156127943170643
"14",0.912189524027796,0.220199260206743,0.910595120185272,0.223929431092551,0.910595120185272,0.223929431092551,0.907767242384484,0.230587365946745
"15",0.914604810659903,0.226077598597101,0.913041284032773,0.229882918625965,0.913041284032773,0.229882918625965,0.910259541853382,0.236653138618832
"16",0.94680211404943,0.147715617843061,0.944366321893948,0.153643862693242,0.942103897020203,0.159150165263649,0.940853365570728,0.16219371584273
