"","H","C","region"
"1",0.999949716158789,0,"90"
"2",0.997333418576825,0.00256012514628388,"90"
"3",0.997404740423584,0.0026304213739241,"90"
"4",1,5.17465533079241e-05,"90"
"5",0.999939805152886,0,"95"
"6",0.996731094046617,0.00313425118894238,"95"
"7",0.996821938054682,0.00322378884620891,"95"
"8",1,6.12194988194966e-05,"95"
"9",0.999920316309727,0,"99"
"10",0.995300925403051,0.00450543660640071,"99"
"11",0.99543492911532,0.00463751332469054,"99"
"12",1,8.45499692434975e-05,"99"
"13",0.999892542975127,0,"99.9"
"14",0.993182456322111,0.00653869387679274,"99.9"
"15",0.993370433685048,0.00672396809635969,"99.9"
"16",1,0.000110373520740371,"99.9"
"17",0.99920897987609,0.00078003438282426,"median"
