"","H","C","region"
"1",0.999479105994878,0.0013982030579385,"90"
"2",0.994364013412813,0.00812457533981646,"90"
"3",0.993923391043153,0.00754515472396132,"90"
"4",0.999038483625218,0.00081878244208336,"90"
"5",0.999160925931426,0.00181661142985166,"95"
"6",0.99371383245781,0.00897956654159264,"95"
"7",0.993253401292218,0.00837409726019412,"95"
"8",0.998700494765834,0.00121114214845313,"95"
"9",0.998792433575739,0.00230118071723233,"99"
"10",0.992257462551137,0.0108947002396125,"99"
"11",0.991730846524912,0.0102021975360611,"99"
"12",0.998265817549513,0.00160867801368097,"99"
"13",0.998572705356914,0.00259012442195285,"99.9"
"14",0.990257768995112,0.0135243072490073,"99.9"
"15",0.989731152968886,0.012831804545456,"99.9"
"16",0.998046089330689,0.00189762171840149,"99.9"
"17",0.996703195244566,0.00432969697168971,"median"
