"","H","C","region"
"1",0.999999759720122,3.89432878666149e-07,"90"
"2",0.999948898310139,5.05831560241741e-05,"90"
"3",0.999948737599577,5.04245552023593e-05,"90"
"4",0.999999599009561,2.30832056851312e-07,"90"
"5",0.999999353274593,8.77958036107269e-07,"95"
"6",0.999938370679204,6.10599999934008e-05,"95"
"7",0.9999381656796,6.08576915357656e-05,"95"
"8",0.999999148274989,6.75649578472066e-07,"95"
"9",0.999998220049676,2.0217226295997e-06,"99"
"10",0.999907942910915,9.11137417220643e-05,"99"
"11",0.999907698373177,9.08724141710542e-05,"99"
"12",0.999997975511938,1.78039507858959e-06,"99"
"13",0.999997307727972,2.99993025146946e-06,"99.9"
"14",0.999862479925798,0.000136057770700495,"99.9"
"15",0.999862195938945,0.000135777511905798,"99.9"
"16",0.999997023741119,2.71967145677297e-06,"99.9"
"17",0.999985292278035,1.45144384709536e-05,"median"
