"","H","C","region"
"1",0.936900900192814,0.160056571857294,"90"
"2",0.914257813568212,0.215165445318613,"90"
"3",0.916886123174379,0.221562240239057,"90"
"4",0.939529209798981,0.166453366777738,"90"
"5",0.938438057877914,0.156315428710042,"95"
"6",0.912189547689916,0.22019920261774,"95"
"7",0.914817857296083,0.226595997538184,"95"
"8",0.941066367484081,0.162712223630486,"95"
"9",0.940985151773387,0.149741428486363,"99"
"10",0.908867458709649,0.227909653175126,"99"
"11",0.911649793989397,0.234681316659028,"99"
"12",0.943767487053135,0.156513091970264,"99"
"13",0.943555323863073,0.1431173795765,"99.9"
"14",0.905440443992405,0.235881591744633,"99.9"
"15",0.908374290712742,0.243022004637382,"99.9"
"16",0.94648917058341,0.150257792469249,"99.9"
"17",0.929642920308181,0.184143875138124,"median"
