"","H","C","region"
"1",0.999806026733736,0.00034342864401771,"90"
"2",0.999705083010986,0.000524092215484393,"90"
"3",0.999707130000952,0.000527755806522196,"90"
"4",0.999808073723702,0.000347092235055513,"90"
"5",0.999817237598677,0.000323364049169085,"95"
"6",0.999688598509287,0.000553595277881145,"95"
"7",0.999690645499252,0.000557258868918948,"95"
"8",0.999819284588643,0.000327027640206888,"95"
"9",0.999835276427963,0.000290843825284791,"99"
"10",0.99964922985334,0.000623819841176025,"99"
"11",0.999651408320501,0.000627718742929671,"99"
"12",0.999837454895124,0.000294742727038438,"99"
"13",0.999854017555552,0.000257301976903178,"99.9"
"14",0.999595231490288,0.000720463167343874,"99.9"
"15",0.999597409957449,0.00072436206909752,"99.9"
"16",0.999856196022713,0.000261200878656825,"99.9"
"17",0.999761481673417,0.000426814967969451,"median"
