"","H","C","region"
"1",0.999001449671888,0.00241174536143193,"90"
"2",0.998823130860314,0.00283997580337187,"90"
"3",0.998814809553406,0.00281999228675126,"90"
"4",0.998993128364979,0.00239176184481131,"90"
"5",0.999027247031033,0.00234979331940985,"95"
"6",0.99879620951772,0.00290462707787819,"95"
"7",0.998787888210812,0.00288464356125757,"95"
"8",0.999018925724125,0.00232980980278924,"95"
"9",0.999069721730416,0.00224779084907326,"99"
"10",0.998743263264283,0.00303177685702009,"99"
"11",0.998734941957375,0.00301179334039947,"99"
"12",0.999061400423508,0.00222780733245264,"99"
"13",0.999104822441392,0.00216349692157865,"99.9"
"14",0.998648999288714,0.00325815063980271,"99.9"
"15",0.998640677981806,0.00323816712318209,"99.9"
"16",0.999096501134484,0.00214351340495804,"99.9"
"17",0.998911444810795,0.00260791629106189,"median"
