"","H","C","D","tau"
"1",0.993789506139167,0.00608109643424243,3,1
"2",0.995488845960279,0.00440454165532636,3,1
"3",0.990672456146381,0.00916175187229298,3,1
"4",0.997371236483146,0.00261992680545987,3,1
"5",0.986461194259755,0.0133601478738947,3,1
"6",0.992810059015889,0.00702703002778514,3,1
"7",0.995619155477878,0.00421712205800294,3,1
"8",0.993644977425593,0.00629179519537879,3,1
"9",0.99812877668804,0.00183027116417117,3,1
"10",0.985309792223495,0.0143542317738367,3,1
"11",0.997371236483146,0.00261992680545987,3,1
"12",0.987074313962897,0.0126149208391743,3,1
"13",0.995743908923568,0.00419260297315512,3,1
"14",0.991967989996031,0.0077719231121317,3,1
"15",0.992273726392059,0.00748088484399946,3,1
"16",0.991606416233847,0.00830209331785864,3,1
"17",0.971645894003163,0.0274505304837811,3,1
"18",0.97052757765309,0.0303339237856221,3,1
"19",0.985511295476667,0.0151438263624577,3,1
"20",0.998769548670322,0.00121458837039928,3,1
"21",0.993162876803018,0.00684090354456945,3,1
"22",0.995684870488769,0.00428423307482665,3,1
"23",0.974251330606549,0.0250574480061052,3,1
"24",0.990089298050662,0.00970253040972618,3,1
"25",0.985657303381767,0.0140427929635035,3,1
"26",0.993203141530257,0.0066102653657087,3,1
"27",0.991970230127345,0.00776994147630558,3,1
"28",0.986943677022463,0.0128043075271896,3,1
"29",0.991757963172975,0.00807281305129047,3,1
"30",0.988905771858693,0.0114689649972229,3,1
"31",0.988611850934755,0.011733657512686,3,1
"32",0.988734015098772,0.0110236919971203,3,1
"33",0.98834279863546,0.0114150484309346,3,1
"34",0.984538256286386,0.0155200835961623,3,1
"35",0.989994211674938,0.00982754998811601,3,1
"36",0.995699277082013,0.00425883438398245,3,1
"37",0.986678318201305,0.0130295943949009,3,1
"38",0.984677423971684,0.015115540626001,3,1
"39",0.99449037094788,0.00522484918214353,3,1
"40",0.994368414567965,0.00555989882530696,3,1
"41",0.994680079881189,0.00526726799044039,3,1
"42",0.967946148100924,0.031585474904201,3,1
"43",0.996130190541494,0.00379163274183964,3,1
"44",0.993554840969662,0.00626064405877356,3,1
"45",0.991759651433969,0.00807100898901132,3,1
"46",0.973725917267414,0.0254861277895916,3,1
"47",0.988655604982095,0.0113105624757546,3,1
"48",0.990552078351608,0.00934754553035406,3,1
"49",0.99540812716278,0.00452476007512152,3,1
"50",0.978504761189107,0.0211109232110779,3,1
"51",0.99076694410017,0.00904249852481724,3,1
"52",0.998770863519714,0.00121330570883924,3,1
"53",0.992804817173539,0.00719764738485822,3,1
"54",0.973061329592899,0.024832249634482,3,1
"55",0.999098728545807,0.000893502160796243,3,1
"56",0.985321367717035,0.0143429847203708,3,1
"57",0.995965180363801,0.003871190913937,3,1
"58",0.997406581188632,0.00256649819815499,3,1
"59",0.99778366986605,0.00217665191521827,3,1
"60",0.994567829832024,0.00526807396950762,3,1
"61",0.994769390497911,0.00513423159628041,3,1
"62",0.976998185526228,0.0224668797625354,3,1
"63",0.995684193715744,0.00428489864911297,3,1
"64",0.997718305416123,0.00227193591677124,3,1
"65",0.976462838519682,0.0234444563918832,3,1
"66",0.997407257961657,0.00256583029646507,3,1
"67",0.997103467324185,0.0028485622422468,3,1
"68",0.983229478913596,0.0157827265668295,3,1
"69",0.996727525270803,0.0032368588613123,3,1
"70",0.997783031789683,0.00217726361816487,3,1
"71",0.993519936744631,0.00631340751287087,3,1
"72",0.993836087103744,0.00601135683482907,3,1
"73",0.978811981692834,0.0206545354915875,3,1
"74",0.994716275779884,0.00521315327592466,3,1
"75",0.99561331006893,0.00438879672303335,3,1
"76",0.997739170145189,0.00224291202201811,3,1
"77",0.98804819620151,0.0115395046594757,3,1
"78",0.985209063967939,0.015415395483981,3,1
"79",0.982566356120917,0.0168978671333798,3,1
"80",0.995140358003819,0.00475243019116554,3,1
"81",0.991753379732119,0.00807723161619812,3,1
"82",0.975624816925827,0.0248823916173933,3,1
"83",0.989719893903044,0.0100792061848662,3,1
"84",0.987934513010594,0.0120312038571654,3,1
"85",0.988828200213637,0.0110437801084714,3,1
"86",0.992440052102169,0.00740631893715771,3,1
"87",0.98645863962889,0.0133625595797358,3,1
"88",0.97939886530574,0.0199874448881685,3,1
"89",0.994975176970659,0.00499792356149062,3,1
"90",0.997408070458207,0.0025649573517923,3,1
"91",0.980238373357413,0.0191069109672751,3,1
"92",0.996124894012096,0.00379679976443454,3,1
"93",0.991757135869611,0.00807370127849281,3,1
"94",0.994721811777225,0.00537770982360926,3,1
"95",0.991760768687449,0.00807002331494062,3,1
"96",0.985302195188093,0.0145472570405563,3,1
"97",0.991601286288394,0.00830731690915367,3,1
"98",0.9863714202897,0.0138364071842391,3,1
"99",0.994369811809012,0.00555850621705262,3,1
"100",0.992317771019446,0.00742497609029549,3,1
"101",0.962840166049631,0.0492531390423148,4,1
"102",0.969711058418816,0.0396075051440758,4,1
"103",0.969064539608185,0.0413958942136211,4,1
"104",0.978576489972796,0.0293477556724052,4,1
"105",0.941980336030781,0.0833737055208485,4,1
"106",0.968425779361067,0.0419037086584011,4,1
"107",0.983952473650945,0.0202818874932102,4,1
"108",0.963079939673639,0.0538987402865317,4,1
"109",0.976703140854224,0.0310271770658113,4,1
"110",0.980125330335716,0.0261726340686555,4,1
"111",0.966014975042849,0.0440552713378396,4,1
"112",0.974861589136556,0.0327328872405936,4,1
"113",0.982308485150971,0.0241084165804752,4,1
"114",0.971521632435901,0.0384163506475765,4,1
