"","H","C","region"
"1",0.999995686848313,4.13264844589955e-06,"90"
"2",0.999958783057684,4.05526939535272e-05,"90"
"3",0.999958907915339,4.06759149391372e-05,"90"
"4",0.999995811705967,4.25586943150956e-06,"90"
"5",0.999997081692185,2.71424349066633e-06,"95"
"6",0.999948451212397,5.07072614654242e-05,"95"
"7",0.999948618470936,5.08723275339349e-05,"95"
"8",0.999997248950725,2.87930955917706e-06,"95"
"9",0.999998700453292,1.03627972359163e-06,"99"
"10",0.999920499412922,7.82122391708938e-05,"99"
"11",0.999920748161486,7.84577270693574e-05,"99"
"12",0.999998949201856,1.2817676220553e-06,"99"
"13",0.999999455560717,1.94998078315133e-07,"99.9"
"14",0.999875302740836,0.000122720388368263,"99.9"
"15",0.999875648837849,0.000123061948644664,"99.9"
"16",0.999999801657729,5.36558354715466e-07,"99.9"
"17",0.999985310192165,1.44968985566334e-05,"median"
